id	family	kind	rel_path	stage	risk	overlap_count	route	source_patch	effective_patch	override_used
1408	user32-rawinput-mouse	tkg-patches	user32-rawinput-mouse/0001-server-Add-support-for-absolute-rawinput-mouse-messa.patch	1	high	1	wine	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/user32-rawinput-mouse/0001-server-Add-support-for-absolute-rawinput-mouse-messa.patch	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/user32-rawinput-mouse/0001-server-Add-support-for-absolute-rawinput-mouse-messa.patch	no
1409	user32-rawinput-mouse	tkg-patches	user32-rawinput-mouse/0002-winex11-Clear-the-MOUSEEVENTF_MOVE-flag-when-accumul.patch	1	high	1	wine	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/user32-rawinput-mouse/0002-winex11-Clear-the-MOUSEEVENTF_MOVE-flag-when-accumul.patch	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/user32-rawinput-mouse/0002-winex11-Clear-the-MOUSEEVENTF_MOVE-flag-when-accumul.patch	no
1410	user32-rawinput-mouse	tkg-patches	user32-rawinput-mouse/0003-winex11-Add-support-for-absolute-position-in-RawMoti.patch	1	high	1	wine	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/user32-rawinput-mouse/0003-winex11-Add-support-for-absolute-position-in-RawMoti.patch	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/user32-rawinput-mouse/0003-winex11-Add-support-for-absolute-position-in-RawMoti.patch	no
1414	user32-rawinput-mouse	tkg-patches	user32-rawinput-mouse/0007-winex11-Send-relative-RawMotion-events-position-unpr.patch	1	high	1	wine	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/user32-rawinput-mouse/0007-winex11-Send-relative-RawMotion-events-position-unpr.patch	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/user32-rawinput-mouse/0007-winex11-Send-relative-RawMotion-events-position-unpr.patch	no
1415	user32-recursive-activation	tkg-patches	user32-recursive-activation/0001-user32-focus-Prevent-a-recursive-loop-with-the-activ.patch	1	high	2	wine	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/user32-recursive-activation/0001-user32-focus-Prevent-a-recursive-loop-with-the-activ.patch	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/user32-recursive-activation/0001-user32-focus-Prevent-a-recursive-loop-with-the-activ.patch	no
1417	uxtheme-GTK_Theming	tkg-patches	uxtheme-GTK_Theming/0000-Revert-uxtheme-Build-with-msvcrt.patch	3	medium	1	wine	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/uxtheme-GTK_Theming/0000-Revert-uxtheme-Build-with-msvcrt.patch	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/uxtheme-GTK_Theming/0000-Revert-uxtheme-Build-with-msvcrt.patch	no
1418	uxtheme-GTK_Theming	tkg-patches	uxtheme-GTK_Theming/0001-uxtheme-Initial-implementation-of-GTK-backend.patch	3	medium	2	wine	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/uxtheme-GTK_Theming/0001-uxtheme-Initial-implementation-of-GTK-backend.patch	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/uxtheme-GTK_Theming/0001-uxtheme-Initial-implementation-of-GTK-backend.patch	no
1419	uxtheme-GTK_Theming	tkg-patches	uxtheme-GTK_Theming/0002-makefiles-Only-apply-non-include-path-EXTRAINCL-flag.patch	3	medium	1	wine	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/uxtheme-GTK_Theming/0002-makefiles-Only-apply-non-include-path-EXTRAINCL-flag.patch	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/uxtheme-GTK_Theming/0002-makefiles-Only-apply-non-include-path-EXTRAINCL-flag.patch	no
1424	version-VerQueryValue	tkg-patches	version-VerQueryValue/0001-version-Test-for-VerQueryValueA-try-2.patch	3	medium	1	wine	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/version-VerQueryValue/0001-version-Test-for-VerQueryValueA-try-2.patch	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/version-VerQueryValue/0001-version-Test-for-VerQueryValueA-try-2.patch	no
1425	vkd3d-latest	tkg-patches	vkd3d-latest/0001-Updated-vkd3d-to-5c355b5963ef7a51eb152a8f1544542bf5b.patch	2	medium	4	wine	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/vkd3d-latest/0001-Updated-vkd3d-to-5c355b5963ef7a51eb152a8f1544542bf5b.patch	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/vkd3d-latest/0001-Updated-vkd3d-to-5c355b5963ef7a51eb152a8f1544542bf5b.patch	no
