id	family	kind	rel_path	route	target	mode	status	reason	source_patch	effective_patch
1449	wined3d-Indexed_Vertex_Blending	tkg-patches	wined3d-Indexed_Vertex_Blending/0005-wined3d-Support-indexed-vertex-blending.patch	wine	/home/mikhail/wcp-sources/andre-wine11-arm64ec	pending	pending	error: dlls/wined3d/wined3d_private.h: patch does not apply	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/wined3d-Indexed_Vertex_Blending/0005-wined3d-Support-indexed-vertex-blending.patch	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/wined3d-Indexed_Vertex_Blending/0005-wined3d-Support-indexed-vertex-blending.patch
1450	wined3d-SWVP-shaders	tkg-patches	wined3d-SWVP-shaders/0001-wined3d-Use-UBO-for-vertex-shader-float-constants-if.patch	wine	/home/mikhail/wcp-sources/andre-wine11-arm64ec	pending	pending	error: dlls/wined3d/wined3d_private.h: patch does not apply	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/wined3d-SWVP-shaders/0001-wined3d-Use-UBO-for-vertex-shader-float-constants-if.patch	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/wined3d-SWVP-shaders/0001-wined3d-Use-UBO-for-vertex-shader-float-constants-if.patch
1451	wined3d-SWVP-shaders	tkg-patches	wined3d-SWVP-shaders/0002-d3d9-Support-SWVP-vertex-shader-float-constants-limi.patch	wine	/home/mikhail/wcp-sources/andre-wine11-arm64ec	pending	pending	error: dlls/d3d9/device.c: patch does not apply	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/wined3d-SWVP-shaders/0002-d3d9-Support-SWVP-vertex-shader-float-constants-limi.patch	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/wined3d-SWVP-shaders/0002-d3d9-Support-SWVP-vertex-shader-float-constants-limi.patch
1452	wined3d-SWVP-shaders	tkg-patches	wined3d-SWVP-shaders/0003-wined3d-Report-actual-vertex-shader-float-constants-.patch	wine	/home/mikhail/wcp-sources/andre-wine11-arm64ec	pending	pending	error: dlls/wined3d/wined3d_private.h: patch does not apply	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/wined3d-SWVP-shaders/0003-wined3d-Report-actual-vertex-shader-float-constants-.patch	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/wined3d-SWVP-shaders/0003-wined3d-Report-actual-vertex-shader-float-constants-.patch
1453	wined3d-SWVP-shaders	tkg-patches	wined3d-SWVP-shaders/0004-wined3d-Support-SWVP-vertex-shader-constants-limit-i.patch	wine	/home/mikhail/wcp-sources/andre-wine11-arm64ec	pending	pending	error: dlls/wined3d/wined3d_private.h: patch does not apply	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/wined3d-SWVP-shaders/0004-wined3d-Support-SWVP-vertex-shader-constants-limit-i.patch	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/wined3d-SWVP-shaders/0004-wined3d-Support-SWVP-vertex-shader-constants-limit-i.patch
1454	wined3d-SWVP-shaders	tkg-patches	wined3d-SWVP-shaders/0005-wined3d-Support-SWVP-mode-vertex-shaders.patch	wine	/home/mikhail/wcp-sources/andre-wine11-arm64ec	pending	pending	error: dlls/wined3d/wined3d_private.h: patch does not apply	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/wined3d-SWVP-shaders/0005-wined3d-Support-SWVP-mode-vertex-shaders.patch	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/wined3d-SWVP-shaders/0005-wined3d-Support-SWVP-mode-vertex-shaders.patch
1459	winedevice-Default_Drivers	tkg-patches	winedevice-Default_Drivers/0001-win32k.sys-Add-stub-driver.patch	wine	/home/mikhail/wcp-sources/andre-wine11-arm64ec	pending	pending	error: loader/wine.inf.in: patch does not apply	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/winedevice-Default_Drivers/0001-win32k.sys-Add-stub-driver.patch	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/winedevice-Default_Drivers/0001-win32k.sys-Add-stub-driver.patch
1462	winedevice-Default_Drivers	tkg-patches	winedevice-Default_Drivers/0004-programs-winedevice-Load-some-common-drivers-and-fix.patch	wine	/home/mikhail/wcp-sources/andre-wine11-arm64ec	pending	pending	error: dlls/ntoskrnl.exe/tests/driver.c: patch does not apply	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/winedevice-Default_Drivers/0004-programs-winedevice-Load-some-common-drivers-and-fix.patch	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/winedevice-Default_Drivers/0004-programs-winedevice-Load-some-common-drivers-and-fix.patch
1464	wineps.drv-PostScript_Fixes	tkg-patches	wineps.drv-PostScript_Fixes/0004-wineps.drv-Add-support-for-GETFACENAME-and-DOWNLOADF.patch	wine	/home/mikhail/wcp-sources/andre-wine11-arm64ec	pending	pending	error: dlls/wineps.drv/psdrv.h: patch does not apply	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/wineps.drv-PostScript_Fixes/0004-wineps.drv-Add-support-for-GETFACENAME-and-DOWNLOADF.patch	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/wineps.drv-PostScript_Fixes/0004-wineps.drv-Add-support-for-GETFACENAME-and-DOWNLOADF.patch
1467	winex11-Fixed-scancodes	tkg-patches	winex11-Fixed-scancodes/0001-winecfg-Move-input-config-options-to-a-dedicated-tab.patch	wine	/home/mikhail/wcp-sources/andre-wine11-arm64ec	pending	pending	error: programs/winecfg/winecfg.rc: patch does not apply	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/winex11-Fixed-scancodes/0001-winecfg-Move-input-config-options-to-a-dedicated-tab.patch	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/winex11-Fixed-scancodes/0001-winecfg-Move-input-config-options-to-a-dedicated-tab.patch
1469	winex11-Fixed-scancodes	tkg-patches	winex11-Fixed-scancodes/0003-winex11-Write-supported-keyboard-layout-list-in-regi.patch	wine	/home/mikhail/wcp-sources/andre-wine11-arm64ec	pending	pending	error: dlls/winex11.drv/x11drv_main.c: patch does not apply	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/winex11-Fixed-scancodes/0003-winex11-Write-supported-keyboard-layout-list-in-regi.patch	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/winex11-Fixed-scancodes/0003-winex11-Write-supported-keyboard-layout-list-in-regi.patch
1470	winex11-Fixed-scancodes	tkg-patches	winex11-Fixed-scancodes/0004-winecfg-Add-a-keyboard-layout-selection-config-optio.patch	wine	/home/mikhail/wcp-sources/andre-wine11-arm64ec	pending	pending	error: programs/winecfg/winecfg.rc: patch does not apply	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/winex11-Fixed-scancodes/0004-winecfg-Add-a-keyboard-layout-selection-config-optio.patch	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/winex11-Fixed-scancodes/0004-winecfg-Add-a-keyboard-layout-selection-config-optio.patch
1471	winex11-Fixed-scancodes	tkg-patches	winex11-Fixed-scancodes/0005-winex11-Use-the-user-configured-keyboard-layout-if-a.patch	wine	/home/mikhail/wcp-sources/andre-wine11-arm64ec	pending	pending	error: dlls/winex11.drv/x11drv_main.c: patch does not apply	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/winex11-Fixed-scancodes/0005-winex11-Use-the-user-configured-keyboard-layout-if-a.patch	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/winex11-Fixed-scancodes/0005-winex11-Use-the-user-configured-keyboard-layout-if-a.patch
1472	winex11-Fixed-scancodes	tkg-patches	winex11-Fixed-scancodes/0006-winecfg-Add-a-keyboard-scancode-detection-toggle-opt.patch	wine	/home/mikhail/wcp-sources/andre-wine11-arm64ec	pending	pending	error: programs/winecfg/winecfg.rc: patch does not apply	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/winex11-Fixed-scancodes/0006-winecfg-Add-a-keyboard-scancode-detection-toggle-opt.patch	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/winex11-Fixed-scancodes/0006-winecfg-Add-a-keyboard-scancode-detection-toggle-opt.patch
1474	winex11-Fixed-scancodes	tkg-patches	winex11-Fixed-scancodes/0008-winex11-Support-fixed-X11-keycode-to-scancode-conver.patch	wine	/home/mikhail/wcp-sources/andre-wine11-arm64ec	pending	pending	error: dlls/winex11.drv/x11drv_main.c: patch does not apply	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/winex11-Fixed-scancodes/0008-winex11-Support-fixed-X11-keycode-to-scancode-conver.patch	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/winex11-Fixed-scancodes/0008-winex11-Support-fixed-X11-keycode-to-scancode-conver.patch
1476	winex11-WM_WINDOWPOSCHANGING	tkg-patches	winex11-WM_WINDOWPOSCHANGING/0001-winex11.drv-Send-WM_WINDOWPOSCHANGING-WM_WINDOWPOSCH.patch	wine	/home/mikhail/wcp-sources/andre-wine11-arm64ec	pending	pending	error: dlls/winex11.drv/event.c: patch does not apply	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/winex11-WM_WINDOWPOSCHANGING/0001-winex11.drv-Send-WM_WINDOWPOSCHANGING-WM_WINDOWPOSCH.patch	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/winex11-WM_WINDOWPOSCHANGING/0001-winex11.drv-Send-WM_WINDOWPOSCHANGING-WM_WINDOWPOSCH.patch
1482	wininet-Cleanup	tkg-patches	wininet-Cleanup/0004-wininet-Strip-filename-if-no-path-is-set-in-cookie.patch	wine	/home/mikhail/wcp-sources/andre-wine11-arm64ec	pending	pending	error: dlls/wininet/tests/http.c: patch does not apply	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/wininet-Cleanup/0004-wininet-Strip-filename-if-no-path-is-set-in-cookie.patch	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/wininet-Cleanup/0004-wininet-Strip-filename-if-no-path-is-set-in-cookie.patch
